name,salary_from,salary_to,salary_currency,area_name,published_at
Менеджер IT- продукта,60000,100000,RUR,Владивосток,2022-12-19T02:28:52+0300
Системный администратор,60000,70000,RUR,Новосибирск,2022-12-19T05:31:47+0300
DevOps инженер,,,,Бишкек,2022-12-19T05:55:03+0300
Специалист по информационной безопасности,,,,Иркутск,2022-12-19T04:49:30+0300
Менеджер по продукту (мобильные телефоны),200000,,RUR,Москва,2022-12-19T00:23:27+0300
Маркетолог-аналитик,60000,60000,RUR,Хабаровск,2022-12-19T02:23:17+0300
Инженер-механик,,71000,RUR,Новосибирск,2022-12-19T05:18:09+0300
Администратор корпоративных систем на Сахалин,80000,100000,RUR,Владивосток,2022-12-19T03:52:48+0300
"Монтажник ВОЛС, СКС, слаботочка",,,,Улан-Удэ,2022-12-19T05:36:53+0300
Ведущий программист,,,,Владивосток,2022-12-19T05:39:45+0300
Графический дизайнер,,,,Алматы,2022-12-19T05:22:47+0300
Сервисный инженер,40000,60000,RUR,Новокузнецк,2022-12-19T05:21:00+0300
Системный администратор,80000,,RUR,Чита,2022-12-19T03:22:34+0300
Инженер отдела технического обслуживания абонентов,38000,62000,RUR,Хабаровск,2022-12-19T04:12:33+0300
Специалист технической поддержки,30000,45000,RUR,Братск,2022-12-19T03:34:00+0300
Электромонтер (электрик),,,,Хабаровск,2022-12-19T04:12:33+0300
Руководитель направления Power BI,,,,Екатеринбург,2022-12-19T05:26:11+0300
Системный администратор,,,,Новосибирск,2022-12-19T05:01:19+0300
Мастер ремонтной зоны,70000,,RUR,Новосибирск,2022-12-19T04:18:58+0300
Технический директор,,,,Новокузнецк,2022-12-19T05:22:15+0300
Токарь,45000,90000,RUR,Томск,2022-12-19T05:34:27+0300
Специалист по составлению плана расстановки товара,34000,43000,RUR,Новосибирск,2022-12-19T05:42:11+0300
Инженер-программист,,35000,RUR,Барнаул,2022-12-19T04:28:43+0300
Столяр-станочник,,70000,RUR,Ангарск,2022-12-19T05:53:19+0300
Токарь-карусельщик,50000,120000,RUR,Омск,2022-12-19T04:02:44+0300
Токарь-универсал,54000,,RUR,Красноярск,2022-12-19T05:15:12+0300
Инженер-программист,,,,Бийск,2022-12-19T05:23:07+0300
Системный администратор,40000,40000,RUR,Новосибирск,2022-12-19T05:12:53+0300
Системный аналитик/руководитель проектов по IP-телефонии,80000,,RUR,Пермь,2022-12-19T04:31:27+0300
Старший оператор гибочного станка (р.п. Маркова),100000,,RUR,Иркутск,2022-12-19T03:51:15+0300
Инженер ОТК,70000,80000,RUR,Владивосток,2022-12-19T03:01:02+0300
Инженер по тестированию техники,60000,70000,RUR,Артем,2022-12-19T02:09:41+0300
Специалист службы поддержки,31000,38000,RUR,Воронеж,2022-12-19T02:29:01+0300
Инженер отдела информационных технологий,,,,Томск,2022-12-19T05:57:45+0300
Ведущий инженер по работе с базами данных и BI-системами,,,,Иркутск,2022-12-19T05:05:55+0300
Middle Java-разработчик | Яндекс.Толока,,,,Москва,2022-12-19T04:24:11+0300
Фрезеровщик,60000,60000,RUR,Красноярск,2022-12-19T05:15:12+0300
